cellType	gene
Adipocytes_HPCA_1	DLAT
Adipocytes_HPCA_1	GPD1
Adipocytes_HPCA_1	HADHA
Adipocytes_HPCA_1	LBP
Adipocytes_HPCA_1	PLIN1
Adipocytes_HPCA_1	PPP1R1A
Adipocytes_HPCA_1	PPP2R1B
Adipocytes_HPCA_1	PTGER3
Adipocytes_HPCA_1	CILP
Adipocytes_HPCA_1	ADIPOQ
Adipocytes_HPCA_1	COL5A3
Adipocytes_HPCA_1	PNPLA2
Adipocytes_HPCA_2	ADH1B
Adipocytes_HPCA_2	DLAT
Adipocytes_HPCA_2	GPD1
Adipocytes_HPCA_2	LBP
Adipocytes_HPCA_2	PLIN1
Adipocytes_HPCA_2	PPP1R1A
Adipocytes_HPCA_2	PPP2R1B
Adipocytes_HPCA_2	PTGER3
Adipocytes_HPCA_2	CILP
Adipocytes_HPCA_2	ADIPOQ
Adipocytes_HPCA_2	COL5A3
Adipocytes_HPCA_2	PNPLA2
Adipocytes_HPCA_3	ADH1B
Adipocytes_HPCA_3	SLC25A6
Adipocytes_HPCA_3	ATP5G3
Adipocytes_HPCA_3	DBI
Adipocytes_HPCA_3	DLAT
Adipocytes_HPCA_3	GPD1
Adipocytes_HPCA_3	LBP
Adipocytes_HPCA_3	PLIN1
Adipocytes_HPCA_3	PPP1R1A
Adipocytes_HPCA_3	PPP2R1B
Adipocytes_HPCA_3	PTGER3
Adipocytes_HPCA_3	CILP
Adipocytes_HPCA_3	ADIPOQ
Adipocytes_HPCA_3	COL5A3
Adipocytes_HPCA_3	ECHDC1
Adipocytes_HPCA_3	PNPLA2
Astrocytes_ENCODE_1	CNN1
Astrocytes_ENCODE_1	COL11A1
Astrocytes_ENCODE_1	DNA2
Astrocytes_ENCODE_1	FABP7
Astrocytes_ENCODE_1	GPC4
Astrocytes_ENCODE_1	CENPI
Astrocytes_ENCODE_1	FZD2
Astrocytes_ENCODE_1	GLI2
Astrocytes_ENCODE_1	GNG3
Astrocytes_ENCODE_1	GPX7
Astrocytes_ENCODE_1	TNC
Astrocytes_ENCODE_1	LOXL1
Astrocytes_ENCODE_1	LRP4
Astrocytes_ENCODE_1	NNAT
Astrocytes_ENCODE_1	POU3F3
Astrocytes_ENCODE_1	PTN
Astrocytes_ENCODE_1	PTX3
Astrocytes_ENCODE_1	RBP1
Astrocytes_ENCODE_1	SDC2
Astrocytes_ENCODE_1	TFAP2C
Astrocytes_ENCODE_1	TRO
Astrocytes_ENCODE_1	XRCC2
Astrocytes_ENCODE_1	ADAM12
Astrocytes_ENCODE_1	DPF3
Astrocytes_ENCODE_1	ST8SIA2
Astrocytes_ENCODE_1	ZNF239
Astrocytes_ENCODE_1	DCHS1
Astrocytes_ENCODE_1	KIF20B
Astrocytes_ENCODE_1	REC8
Astrocytes_ENCODE_1	PNMA2
Astrocytes_ENCODE_1	CAND2
Astrocytes_ENCODE_1	FBXL7
Astrocytes_ENCODE_1	SYT11
Astrocytes_ENCODE_1	DAPK2
Astrocytes_ENCODE_1	ANKRD1
Astrocytes_ENCODE_1	NT5DC3
Astrocytes_ENCODE_1	PNMAL1
Astrocytes_ENCODE_1	ASAP3
Astrocytes_ENCODE_1	DOK5
Astrocytes_ENCODE_1	GABRQ
Astrocytes_ENCODE_1	AGPAT4
Astrocytes_ENCODE_1	NCAPG
Astrocytes_ENCODE_1	FSD1
Astrocytes_ENCODE_1	KIF18A
Astrocytes_ENCODE_1	MXD3
Astrocytes_ENCODE_1	PSRC1
Astrocytes_ENCODE_1	OLFML2A
Astrocytes_ENCODE_2	CBR3
Astrocytes_ENCODE_2	CLCN2
Astrocytes_ENCODE_2	CNN1
Astrocytes_ENCODE_2	COL11A1
Astrocytes_ENCODE_2	FABP7
Astrocytes_ENCODE_2	GPC4
Astrocytes_ENCODE_2	FZD2
Astrocytes_ENCODE_2	GRM7
